year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2015,12,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,133,-9.0,134,20.3,-1
2015,12,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,0.4,17,-7.1,6
2015,12,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,440,3.9,445,15.9,-5
2014,1,EU,전기기계부품,전기변환장치,전동기,순번,301,-8.1,298,-0.7,3
2014,1,EU,전기기계부품,전기변환장치,발전기,24019,318,11.2,163,13.0,155
2014,1,EU,전기기계부품,전기변환장치,변압기,6,178,3.5,68,-11.3,110
2014,1,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,134,-8.4,120,11.4,14
2014,1,EU,전기기계부품,전기변환장치,방전램프용안정기,5,21,-12.3,28,-6.9,-7
2014,1,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,329,2.1,355,-4.1,-26
2014,2,EU,전기기계부품,전기변환장치,전동기,순번,345,11.7,282,22.0,63
2014,2,EU,전기기계부품,전기변환장치,발전기,24019,354,36.5,149,14.5,205
2014,2,EU,전기기계부품,전기변환장치,변압기,6,190,0.0,63,-10.6,127
2014,2,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,149,-0.1,105,14.3,44
2014,2,EU,전기기계부품,전기변환장치,방전램프용안정기,5,23,-9.6,25,-12.2,-2
2014,2,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,352,7.8,317,-0.9,35
2014,3,EU,전기기계부품,전기변환장치,전동기,순번,334,-4.2,289,21.8,45
2014,3,EU,전기기계부품,전기변환장치,발전기,24019,284,-24.8,157,2.3,127
2014,3,EU,전기기계부품,전기변환장치,변압기,6,179,-24.9,73,-2.8,106
2014,3,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,144,-10.8,119,16.5,25
2014,3,EU,전기기계부품,전기변환장치,방전램프용안정기,5,25,-7.2,25,8.9,0
2014,3,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,359,-3.4,363,7.9,-4
2014,4,EU,전기기계부품,전기변환장치,전동기,순번,340,-9.6,290,6.4,50
2014,4,EU,전기기계부품,전기변환장치,발전기,24019,383,3.5,168,2.9,215
2014,4,EU,전기기계부품,전기변환장치,변압기,6,211,-12.7,76,-12.9,135
