year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2014,10,미국,섬유제품,제사 및 방적,모방적,6,"1,366",-1.6,"12,072",16.7,"-10,706"
2014,10,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"48,480",15.5,"28,677",-1.1,"19,803"
2014,10,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"15,570",21.6,"5,182",23.2,"10,388"
2014,10,미국,섬유제품,제사 및 방적,기타 방적,11014,38,-21.5,266,10.6,-228
2014,11,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,4,-81.6,357,-16.8,-353
2014,11,미국,섬유제품,제사 및 방적,면방적,11019,"120,098",12.4,"13,217",8.6,"106,881"
2014,11,미국,섬유제품,제사 및 방적,모방적,6,"1,360",13.9,"8,877",3.4,"-7,517"
2014,11,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"47,024",13.8,"28,592",7.5,"18,432"
2014,11,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"15,409",37.0,"4,106",-7.7,"11,303"
2014,11,미국,섬유제품,제사 및 방적,기타 방적,11014,0,-100.0,140,78.8,-140
2014,12,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,28,326.5,457,-4.3,-429
2014,12,미국,섬유제품,제사 및 방적,면방적,11019,"91,890",5.1,"12,717",5.2,"79,173"
2014,12,미국,섬유제품,제사 및 방적,모방적,6,"1,139",12.7,"7,798",-14.7,"-6,659"
2014,12,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"37,800",5.4,"28,087",15.6,"9,713"
2014,12,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,309",26.1,"4,519",10.0,"8,790"
2014,12,미국,섬유제품,제사 및 방적,기타 방적,11014,3,-40.0,232,18.5,-229
2013,1,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,5,-69.3,649,-45.4,-644
2013,1,미국,섬유제품,제사 및 방적,면방적,11019,"103,247",-12.2,"15,576",16.0,"87,671"
2013,1,미국,섬유제품,제사 및 방적,모방적,6,918,15.3,"8,719",-3.4,"-7,801"
2013,1,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"30,538",-19.4,"25,411",-5.9,"5,127"
2013,1,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,979",11.6,"4,577",2.5,"7,402"
2013,1,미국,섬유제품,제사 및 방적,기타 방적,11014,28,-12.5,147,-39.4,-119
2013,2,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,7,59.1,443,-46.8,-436
2013,2,미국,섬유제품,제사 및 방적,면방적,11019,"109,494",-9.0,"14,013",6.2,"95,481"
2013,2,미국,섬유제품,제사 및 방적,모방적,6,"1,043",0.9,"7,536",-7.4,"-6,493"
2013,2,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"32,914",-28.9,"26,534",28.5,"6,380"
2013,2,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"10,942",9.2,"4,781",10.4,"6,161"
2013,2,미국,섬유제품,제사 및 방적,기타 방적,11014,55,177.8,215,4.9,-160
2013,3,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,17,-26.6,743,67.4,-726
2013,3,미국,섬유제품,제사 및 방적,면방적,11019,"115,703",4.4,"15,802",2.5,"99,901"
2013,3,미국,섬유제품,제사 및 방적,모방적,6,"1,144",7.3,"7,738",-4.7,"-6,594"
2013,3,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"36,217",-28.7,"28,081",1.7,"8,136"
