CA,LC,MC,SC,S_code,country,export,export_rate,import,import_rate,month,year
"-8,152",섬유제품,제사 및 방적,모방적,6,미국,866,-24.0,"9,018",15.6,12,2015
"15,405",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"34,677",-8.3,"19,272",-31.4,12,2015
"6,610",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,312",-15.0,"4,702",4.0,12,2015
-322,섬유제품,제사 및 방적,기타 방적,11014,미국,3,-7.8,325,40.3,12,2015
-682,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,-100.0,682,5.2,1,2014
"86,459",섬유제품,제사 및 방적,면방적,11019,미국,"102,917",-0.3,"16,458",5.7,1,2014
"-5,859",섬유제품,제사 및 방적,모방적,6,미국,"1,623",76.8,"7,482",-14.2,1,2014
"9,648",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"38,696",26.7,"29,048",14.3,1,2014
"7,310",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,817",-1.4,"4,507",-1.5,1,2014
-189,섬유제품,제사 및 방적,기타 방적,11014,미국,4,-84.7,193,31.8,1,2014
-560,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,22,213.3,582,31.2,2,2014
"92,205",섬유제품,제사 및 방적,면방적,11019,미국,"102,759",-6.2,"10,554",-24.7,2,2014
"-7,575",섬유제품,제사 및 방적,모방적,6,미국,879,-15.7,"8,454",12.2,2,2014
"17,652",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"39,776",20.8,"22,124",-16.6,2,2014
"8,455",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,732",7.2,"3,277",-31.5,2,2014
-90,섬유제품,제사 및 방적,기타 방적,11014,미국,11,-80.0,101,-53.1,2,2014
-720,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,0,-100.0,720,-3.0,3,2014
"101,723",섬유제품,제사 및 방적,면방적,11019,미국,"117,152",1.3,"15,429",-2.4,3,2014
"-8,636",섬유제품,제사 및 방적,모방적,6,미국,"1,126",-1.6,"9,762",26.2,3,2014
"21,526",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"47,651",31.6,"26,125",-7.0,3,2014
"7,803",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,408",20.6,"5,605",15.4,3,2014
-278,섬유제품,제사 및 방적,기타 방적,11014,미국,7,-76.1,285,58.2,3,2014
-409,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,35,"1,138.6",444,-19.2,4,2014
"86,913",섬유제품,제사 및 방적,면방적,11019,미국,"100,932",-9.0,"14,019",3.2,4,2014
"-8,486",섬유제품,제사 및 방적,모방적,6,미국,959,64.1,"9,445",-3.3,4,2014
"11,918",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"37,580",2.5,"25,662",-12.6,4,2014
"7,875",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,454",-0.9,"4,579",-10.6,4,2014
-346,섬유제품,제사 및 방적,기타 방적,11014,미국,0,-100.0,346,-16.0,4,2014
-631,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,33,406.2,664,64.1,5,2014
"110,162",섬유제품,제사 및 방적,면방적,11019,미국,"123,991",0.2,"13,829",-10.2,5,2014
"-9,302",섬유제품,제사 및 방적,모방적,6,미국,990,-11.2,"10,292",-2.2,5,2014
"16,341",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"43,033",6.4,"26,692",-13.7,5,2014
"7,942",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,501",9.4,"5,559",8.6,5,2014
